Cyprinodon nevadensis amargosae collection - November 2014,,,,,,,,,
,,,,,,,,,
fish #,population,collection date,sex,SL (mm),body mass (g),pelvic fins,eye diameter (mm),head length (mm),body depth (mm)
1697,river,Nov 2014,F,27.25,0.51,2,1.96,7.644,7.613
1698,river,Nov 2014,M,29.15,0.61,2,2.11,7.204,8.141
1699,river,Nov 2014,F,22.25,0.23,2,1.67,6.266,5.915
1700,river,Nov 2014,M,34.7,0.92,2,2.24,9.18,9.487
1701,river,Nov 2014,F,36.25,1.07,2,2.42,8.96,9.532
1702,river,Nov 2014,M,30.95,0.72,2,2.06,8.214,8.785
1703,river,Nov 2014,F,26.95,0.47,2,1.63,6.896,7.028
1704,river,Nov 2014,F,44.3,2.14,2,3.27,12.12,12.73
1705,river,Nov 2014,F,39.1,1.45,2,2.46,10.5,11.39
1706,river,Nov 2014,M,31.2,0.85,2,2.37,8.038,9.268
1707,river,Nov 2014,F,38.95,1.35,2,2.9,10.63,10.5
1708,river,Nov 2014,F,39.4,1.38,2,3.03,10.98,11.03
1709,river,Nov 2014,M,23.35,0.36,2,1.96,6.501,6.852
1710,river,Nov 2014,F,30.3,0.69,2,2.15,7.818,8.214
1711,river,Nov 2014,M,31.5,0.69,2,2.18,7.774,8.306
1712,river,Nov 2014,F,40.2,1.52,2,3.03,11.95,11.73
1713,river,Nov 2014,M,32.15,0.85,2,2.32,8.179,8.743
1714,river,Nov 2014,F,27.3,0.51,2,2.04,7.05,7.252
1715,river,Nov 2014,F,25.5,0.41,2,1.91,6.526,6.457
1716,river,Nov 2014,F,29.25,0.61,2,2.32,7.85,7.907
1717,river,Nov 2014,F,36.5,1.11,2,2.79,10.98,10.46
1718,river,Nov 2014,F,36.35,1.36,2,2.31,10.4,10.98
1719,river,Nov 2014,F,35.15,1.2,2,2.74,9.752,10.38
1720,river,Nov 2014,F,36.75,1.2,2,2.74,10.42,10.81
1721,river,Nov 2014,F,28.6,0.56,2,2.18,7.11,7.755
1722,river,Nov 2014,M,25.8,0.36,2,2.11,6.919,6.46
1723,river,Nov 2014,M,39.8,1.69,2,3.13,11.66,12.19
1724,river,Nov 2014,F,31.35,0.75,2,2.55,8.499,8.464
